model,dataset,seed,scenario,bound_type,delta,final_bound,max_bound,actual_final_divergence,actual_max_divergence,looseness_final,looseness_max,bound_holds,certifies_safe,abstains,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,A_fixed_clean,1.7150911092758179,3.676152004898431,3.676152004898431,3.4351906776428223,4.140129089355469,1.0701449642443002,0.8879317348703083,False,False,False,0.1348175999992236
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,B_fixed_rewritten,1.7150911092758179,35997942301.073524,35997942301.073524,3.4351906776428223,4.140129089355469,10479168604.921455,8694884029.975416,False,False,False,0.1348175999992236
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,C_fixed_max,1.7150911092758179,35997942301.073524,35997942301.073524,3.4351906776428223,4.140129089355469,10479168604.921455,8694884029.975416,False,False,False,0.1348175999992236
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,D_stepwise_product,1.7150911092758179,3.671497401434029,3.671497401434029,3.4351906776428223,4.140129089355469,1.0687899875046696,0.8868074695723085,False,False,False,0.5488215416659539
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,E_empirical_envelope,1.7150911092758179,1.4230631129450084,1.7150911092758179,3.4351906776428223,4.140129089355469,0.4142602977490302,0.4142602977490302,False,False,False,0.1348175999992236
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,A_fixed_clean,0.005416467785835266,0.011609738283101266,0.011609738283101266,0.026248129084706306,0.041798628866672516,0.4423072686679897,0.2777540459552756,False,False,True,0.13472940000065137
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,B_fixed_rewritten,0.005416467785835266,0.009708793504481816,0.009708793504481816,0.026248129084706306,0.041798628866672516,0.3698851629824819,0.23227540634049293,False,False,True,0.13472940000065137
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,C_fixed_max,0.005416467785835266,0.011609738283101266,0.011609738283101266,0.026248129084706306,0.041798628866672516,0.4423072686679897,0.2777540459552756,False,False,True,0.13472940000065137
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,D_stepwise_product,0.005416467785835266,0.011595038475269246,0.011595038475269246,0.026248129084706306,0.041798628866672516,0.4417472360734919,0.2774023643755063,False,False,True,0.5487333416673816
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,E_empirical_envelope,0.005416467785835266,0.026673817657054535,0.04247651332049191,0.026248129084706306,0.041798628866672516,1.016217863413216,1.0162178634132157,True,False,False,0.13472940000065137
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,A_fixed_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13489529999969818
