model,dataset,seed,scenario,direction_type,probe_trials,probe_steps,L_estimate,actual_growth,missed_worst_case,bound_holds,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,random,3,15,1.176094829902239,3.204845900303727,True,False,0.017520100000183447
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,random,5,15,1.1728985098179252,3.204845900303727,True,False,0.02892969999993511
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,random,10,15,1.1946348824810638,3.204845900303727,True,False,0.05818120000003546
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,random,20,15,1.1948191636761898,3.2178234990297474,True,False,0.1172337999996671
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,random,50,15,1.1819563780826023,3.343810470030512,True,False,0.288564899999983
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,gradient_aligned,1,15,0.9823954221580642,1.2808363272218763,True,False,0.006042299999535317
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,gradient_aligned,3,15,1.0228061534129838,1.8624180641119272,True,False,0.017500699999800418
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,gradient_aligned,5,15,1.0268493331823922,1.8624180641119272,True,False,0.029637999999977183
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,gradient_aligned,10,15,1.0166463728208477,1.8624180641119272,True,False,0.05886810000083642
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,gradient_aligned,20,15,1.0134982548828464,1.8624180641119272,True,False,0.11792550000063784
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,gradient_aligned,50,15,1.017301785798096,1.9710831900337882,True,False,0.2944220999997924
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,trajectory_aligned,1,15,1.109263568292694,2.045994642779653,True,False,0.0059762999990198296
