model,dataset,seed,scenario,baseline_name,delta_theta,delta_optimizer,delta_schedule,delta_time,repaired_delta,loss_probe_gap,actual_max_divergence,actual_loss_gap,predicted_safe,actual_safe,false_positive,false_negative,abstained,runtime_seconds,notes
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,F_repaired_analyzer,0.0,5.2334442138671875,0.0,0.0,0.10239264369010925,0.37681595236063004,0.38311612606048584,0.5757124507799745,False,False,False,False,False,0.2569052000008014,"decision=flagged_dangerous; expansive regime, bound reaches danger threshold; L_used=1.0192(clean=1.0192,rw=1.0147); bound=0.2195"
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,A_param_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,2.999995558639057e-07,threshold_theta=0.03132
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,B_optimizer_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,1e-06,threshold_M=0.445
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,C_raw_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.13290700000015931,bound_raw=0 L_pred=1.0283 regime=expansive danger=0.03132
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,D_block_normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.13290700000015931,bound_block=0 L_pred=1.0283
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,E_loss_probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0020559000004141126,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,F_repaired_analyzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.24803700000029494,"decision=certified_safe; zero displacement (no-op): bound is identically zero; L_used=1.0283(clean=1.0283,rw=1.0202); bound=0"
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,A_param_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,1.9999970390927047e-07,threshold_theta=0.03132
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,B_optimizer_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,1e-06,threshold_M=0.445
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,C_raw_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.13290700000015931,bound_raw=0 L_pred=1.0283 regime=expansive danger=0.03132
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,D_block_normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.13290700000015931,bound_block=0 L_pred=1.0283
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,E_loss_probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.002172900000005029,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,F_repaired_analyzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.24884950000068784,"decision=certified_safe; zero displacement (no-op): bound is identically zero; L_used=1.0283(clean=1.0283,rw=1.0210); bound=0"
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,A_param_norm,0.0,3.61255145072937,0.0,0.0,0.05040372163057327,0.15339532494544983,0.19634804129600525,0.2165636606514454,True,False,False,True,False,4.999992597731762e-07,threshold_theta=0.03132
