cohort,seed,checkpoint_age,rewrite_family,kappa_t,eps_c,tolerance,first_step_S1,representable,empty_state,coordinate_count,fraction_R_gt_1_plus_tol,max_R,q95_R,q99_R,q999_R,v_zero_m_nonzero
width448,1201,150,optimizer_reset,52.857142857141646,1e-30,1e-05,15.594484908699693,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1201,150,reset_mv_preserve_counter,52.857142857141646,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1201,300,exact_restore,52.8571428571428,1e-30,1e-05,0.0,True,False,19484864,0.0,0.16100741922855377,0.0007780541200190783,0.002774386201053858,0.008766492828726768,0
width448,1201,300,reset_m,52.8571428571428,1e-30,1e-05,0.9212720059341912,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1201,300,reset_v,52.8571428571428,1e-30,1e-05,32532.705305141462,True,False,19484864,0.9375287915789404,2.433331792678429e+28,4.1737041091941736e+23,2.3445016201846661e+24,1.3941189091467242e+25,19469184
width448,1201,300,stale_m,52.8571428571428,1e-30,1e-05,1.1744030834864727,True,False,19484864,0.0,0.12752589583396912,0.0008202835451811552,0.0029219607822597027,0.008904026821255684,0
width448,1201,300,stale_v,52.8571428571428,1e-30,1e-05,0.3679739768916635,True,False,19484864,1.5396566278317365e-06,152.7960205078125,0.0007736697443760931,0.002807131502777338,0.009192483499646187,0
width448,1201,300,stale_mv,52.8571428571428,1e-30,1e-05,1.1748752137274903,True,False,19484864,0.0,0.13440662622451782,0.0008158381679095328,0.00295200920663774,0.009220569394528866,0
width448,1201,300,optimizer_reset,52.8571428571428,1e-30,1e-05,16.577171149983126,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1201,300,reset_mv_preserve_counter,52.8571428571428,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1202,75,exact_restore,52.85713505761189,1e-30,1e-05,0.0,True,False,19484864,0.0,0.687678873538971,0.013023422099649906,0.053754329681396484,0.18309031426906586,0
width448,1202,75,reset_m,52.85713505761189,1e-30,1e-05,0.9263949064649183,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1202,75,reset_v,52.85713505761189,1e-30,1e-05,165745.62962512008,True,False,19484864,0.9990113351573816,6.287072559883784e+28,4.0279019087267017e+24,1.5304290492206927e+25,7.451324766745024e+25,19465600
width448,1202,75,stale_m,52.85713505761189,1e-30,1e-05,1.4414727086398709,True,False,19484864,0.0,0.4982971251010895,0.022491801530122757,0.058067359030246735,0.13366763293743134,0
width448,1202,75,stale_v,52.85713505761189,1e-30,1e-05,4351.441117285103,True,False,19484864,0.0019527978229665858,1.0551695560407995e+25,0.028167858719825745,0.21100439131259918,1.8236260414123535,448
width448,1202,75,stale_mv,52.85713505761189,1e-30,1e-05,1.6429478732035014,True,False,19484864,0.0,0.6448941826820374,0.03280889242887497,0.08926385641098022,0.20131991803646088,0
width448,1202,75,optimizer_reset,52.85713505761189,1e-30,1e-05,8.00618934035464,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1202,75,reset_mv_preserve_counter,52.85713505761189,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1202,150,exact_restore,52.857142857141646,1e-30,1e-05,0.0,True,False,19484864,0.0,0.49310779571533203,0.0019806567579507828,0.007644545752555132,0.026465656235814095,0
width448,1202,150,reset_m,52.857142857141646,1e-30,1e-05,0.9691474462407274,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
